match_id,batter,batting_team,bowling_team,venue,runs,balls_faced,fours,sixes,strike_rate,is_century,is_fifty,dismissed_player,dismissal_kind
1527674,Abhishek Sharma,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",7,11,0,1,63.64,0,0,Abhishek Sharma,caught
1527674,Aniket Verma,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",43,18,3,4,238.89,0,0,Aniket Verma,caught
1527674,D Padikkal,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",61,26,7,4,234.62,0,1,D Padikkal,caught
1527674,DA Payne,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",6,5,0,0,120.0,0,0,,
1527674,H Klaasen,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",31,22,2,1,140.91,0,0,H Klaasen,caught
1527674,HV Patel,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",0,2,0,0,0.0,0,0,HV Patel,caught
1527674,Harsh Dubey,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",3,4,0,0,75.0,0,0,Harsh Dubey,caught
1527674,Ishan Kishan,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",80,38,8,5,210.53,0,1,Ishan Kishan,caught
1527674,JD Unadkat,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",4,3,0,0,133.33,0,0,,
1527674,JM Sharma,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",0,1,0,0,0.0,0,0,JM Sharma,caught
1527674,Nithish Kumar Reddy,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",1,6,0,0,16.67,0,0,Nithish Kumar Reddy,caught
1527674,PD Salt,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",8,7,2,0,114.29,0,0,PD Salt,caught
1527674,RM Patidar,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",31,15,2,3,206.67,0,0,RM Patidar,caught
1527674,S Arora,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",9,6,0,1,150.0,0,0,S Arora,caught
1527674,TH David,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",16,12,1,1,133.33,0,0,,
1527674,TM Head,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",11,9,2,0,122.22,0,0,TM Head,caught
1527674,V Kohli,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",69,40,5,5,172.5,0,1,,
1527675,A Raghuvanshi,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",51,30,6,2,170.0,0,1,A Raghuvanshi,caught
1527675,AM Rahane,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",67,43,3,5,155.81,0,1,AM Rahane,caught
1527675,C Green,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",18,10,1,1,180.0,0,0,C Green,caught
1527675,FH Allen,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",37,18,6,2,205.56,0,0,FH Allen,caught
1527675,HH Pandya,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",18,11,3,0,163.64,0,0,,
1527675,Naman Dhir,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",5,2,1,0,250.0,0,0,,
1527675,RD Rickelton,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",81,44,4,8,184.09,0,1,RD Rickelton,run out
