match_id,bowler,batting_team,bowling_team,venue,wickets,runs,overs,economy,bowling_sr,five_wickets_haul,four_wickets_haul
1527674,Abhinandan Singh,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",1,38,3.0,12.67,18.0,0,0
1527674,B Kumar,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",1,33,4.3,7.62,26.0,0,0
1527674,DA Payne,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",2,35,3.2,11.05,9.5,0,0
1527674,E Malinga,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",0,35,2.7,13.13,,0,0
1527674,HV Patel,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",0,43,2.8,15.18,,0,0
1527674,Harsh Dubey,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",1,35,3.0,11.67,18.0,0,0
1527674,JA Duffy,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",3,22,4.2,5.28,8.33,0,0
1527674,JD Unadkat,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",1,34,3.2,10.74,19.0,0,0
1527674,KH Pandya,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",0,26,2.0,13.0,,0,0
1527674,Nithish Kumar Reddy,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",0,21,2.0,10.5,,0,0
1527674,R Shepherd,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",3,54,4.2,12.96,8.33,0,0
1527674,Suyash Sharma,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",1,28,3.0,9.33,18.0,0,0
1527675,AM Ghazanfar,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",0,52,4.2,12.48,,0,0
1527675,AS Roy,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",0,15,1.3,11.25,,0,0
1527675,B Muzarabani,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",0,34,3.0,11.33,,0,0
1527675,CV Varun,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",0,48,4.2,11.52,,0,0
1527675,HH Pandya,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",1,40,3.3,12.0,20.0,0,0
1527675,JJ Bumrah,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",0,35,4.3,8.08,,0,0
1527675,Kartik Tyagi,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",1,44,4.2,10.56,25.0,0,0
1527675,M Markande,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",0,16,1.0,16.0,,0,0
1527675,SN Thakur,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",3,39,4.0,9.75,8.0,0,0
1527675,SP Narine,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",1,30,3.0,10.0,18.0,0,0
1527675,TA Boult,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai",0,38,4.5,8.44,,0,0
1527675,VG Arora,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",1,53,4.2,12.72,25.0,0,0
1527676,A Kamboj,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",2,27,3.0,9.0,9.0,0,0
1527676,Brijesh Sharma,Chennai Super Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",1,17,3.3,5.1,20.0,0,0
1527676,J Overton,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",0,14,1.0,14.0,,0,0
1527676,JC Archer,Chennai Super Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",2,20,4.2,4.8,12.5,0,0
1527676,KK Ahmed,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",0,18,3.0,6.0,,0,0
1527676,MJ Henry,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",0,40,3.2,12.63,,0,0
1527676,MW Short,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",0,1,0.2,6.0,,0,0
1527676,N Burger,Chennai Super Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",2,32,4.7,6.86,14.0,0,0
1527676,Noor Ahmad,Rajasthan Royals,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",0,28,2.0,14.0,,0,0
1527676,RA Jadeja,Chennai Super Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",2,19,3.0,6.33,9.0,0,0
1527676,Ravi Bishnoi,Chennai Super Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",1,16,3.0,5.33,18.0,0,0
1527676,Sandeep Sharma,Chennai Super Kings,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",1,23,2.7,8.63,16.0,0,0
1527677,Arshdeep Singh,Gujarat Titans,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",0,42,5.3,7.88,,0,0
1527677,Ashok Sharma,Punjab Kings,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,31,3.3,9.3,20.0,0,0
1527677,K Rabada,Punjab Kings,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,34,3.0,11.33,18.0,0,0
1527677,M Jansen,Gujarat Titans,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,20,4.0,5.0,24.0,0,0
1527677,M Prasidh Krishna,Punjab Kings,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",3,29,4.3,6.69,8.67,0,0
1527677,Mohammed Siraj,Punjab Kings,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",0,15,2.0,7.5,,0,0
1527677,Rashid Khan,Punjab Kings,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,29,4.0,7.25,24.0,0,0
1527677,Vijaykumar Vyshak,Gujarat Titans,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",3,35,4.2,8.4,8.33,0,0
1527677,Washington Sundar,Punjab Kings,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,27,3.2,8.53,19.0,0,0
1527677,XC Bartlett,Gujarat Titans,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",0,36,4.2,8.64,,0,0
1527677,YS Chahal,Gujarat Titans,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2,29,4.2,6.96,12.5,0,0
1527678,A Nortje,Delhi Capitals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,39,4.5,8.67,,0,0
1527678,AK Markram,Delhi Capitals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,13,1.0,13.0,,0,0
1527678,AR Patel,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,21,3.0,7.0,18.0,0,0
1527678,Abdul Samad,Delhi Capitals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,6,0.2,36.0,,0,0
1527678,Kuldeep Yadav,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,31,4.0,7.75,12.0,0,0
1527678,L Ngidi,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,27,3.7,7.36,7.33,0,0
1527678,Mohammed Shami,Delhi Capitals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,28,4.7,6.0,28.0,0,0
1527678,Mohsin Khan,Delhi Capitals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,23,4.2,5.52,25.0,0,0
1527678,Mukesh Kumar,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,21,3.3,6.3,,0,0
1527678,Prince Yadav,Delhi Capitals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,20,3.7,5.45,11.0,0,0
1527678,Shahbaz Ahmed,Delhi Capitals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,16,1.0,16.0,,0,0
1527678,T Natarajan,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,29,4.0,7.25,8.0,0,0
1527678,V Nigam,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,12,1.0,12.0,,0,0
1527679,AS Roy,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",1,16,2.3,6.86,14.0,0,0
1527679,Abhishek Sharma,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",0,15,1.0,15.0,,0,0
1527679,B Muzarabani,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",4,45,4.3,10.38,6.5,0,1
1527679,CV Varun,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",0,31,2.2,14.31,,0,0
